,,,,,,,,,,,,,,,
Normais Climatológicas do Brasil 1961-1990,,,,,,,,,,,,,,,
Número de Dias com Precipitação Maior ou Igual a 1 mm (dias),,,,,,,,,,,,,,,
Código,Nome da Estação,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano
83467,Mineiros,GO,20,16,16,11,5,2,1,3,6,11,16,18,125
83376,Pirenópolis,GO,19,17,15,11,4,2,1,2,5,12,16,21,125
83332,Posse,GO,17,15,14,9,2,1,1,1,3,9,15,17,104
83470,Rio Verde,GO,18,14,15,8,4,2,1,2,5,10,16,18,113
82970,Alto Parnaíba,MA,17,13,17,11,3,1,0,1,3,10,10,14,100
82460,Bacabal,MA,17,17,21,20,14,5,3,2,3,5,5,9,121
82768,Balsas,MA,11,12,15,12,4,1,0,1,3,9,8,11,87
82571,Barra do Corda,MA,13,15,15,14,6,3,1,1,3,5,6,10,92
82765,Carolina,MA,16,17,18,14,5,2,1,1,4,11,11,15,115
82476,Caxias,MA,14,14,20,17,10,4,2,1,2,3,4,8,99
82382,Chapadinha,MA,14,14,20,19,13,5,4,2,2,1,2,6,102
82676,Colinas,MA,12,14,19,15,6,3,1,1,2,7,7,9,96
82568,Grajaú,MA,13,14,17,13,6,2,1,1,2,6,7,11,93
82564,Imperatriz,MA,15,15,17,13,7,3,1,1,3,6,8,13,102
82280,São Luís,MA,13,17,23,22,20,13,10,4,2,1,1,4,130
82198,Turiaçu,MA,13,19,21,21,21,16,15,7,3,2,2,5,145
